PacketNumber,Moisture
$63,$1.34
$64,$1.33
$65,$1.33
$66,$1.34
$67,$1.32
$68,$1.33
$69,$1.33
$70,$1.33
$71,$1.33
$72,$1.34
$73,$1.34
$74,$1.33
$75,$1.34
$76,$1.34
$77,$1.35
$78,$1.35
$79,$1.35
$80,$1.35
$81,$1.34
$82,$1.33
$83,$1.33
$84,$1.33
$85,$1.34
$86,$1.34
$87,$1.32
$88,$1.34
$89,$1.36
$90,$1.35
$91,$1.34
$92,$1.32
$93,$1.34
$94,$1.37
$95,$1.32
$96,$1.33
$97,$1.35
$98,$1.34
$99,$1.33
$100,$1.33
$101,$1.34
$102,$1.33
$103,$1.33
$104,$1.36
$105,$1.35
$106,$1.35
$107,$1.36
$108,$1.35
$109,$1.34
